isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00261	0.12864826075939026	0.05788128495505137	0.13393382759689512	0.10185938507176157	0.13545965196791107
Isolate_00350B	0.06571986809271857	0.040004294605677344	0.07925510111364034	0.06661935030955732	0.116024131534398
Isolate_00351B	0.17507268429742637	0.25828572744821243	0.27915997250667984	0.2587313881014325	0.3821303348157063
Isolate_00352A	0.13227587042772435	0.07911047167698208	0.15839610651043742	0.13130436099560253	0.2341169451060416
Isolate_00352B	0.05686586585123065	0.05348859414784391	0.08769544911267475	0.07448302165006475	0.12971535721947502
Isolate_00353A	0.1767497182149712	0.10608035481534343	0.19565333533649215	0.15087092615473827	0.2335722714011732
Isolate_00353C	0.05513063979468761	0.049147828349542094	0.07872255768881449	0.06670321595027845	0.11980124180333482
Isolate_00354B	0.057010642781388926	0.052874020622698546	0.08819317729661269	0.07250775439502179	0.12943731579208742
Isolate_00357A	0.11733589277886758	0.10328194061446849	0.12715819468963008	0.11069075416289514	0.1994149026852494
Isolate_00357B	0.045647660275351866	0.08085480056629724	0.11140052585940655	0.09649522407900486	0.1829471023809227
Isolate_00400	0.0835428223641771	0.1381647962247786	0.14472793118086286	0.17194485777815352	0.2168483208742362
Isolate_00401	0.11674884655027082	0.059272349010032054	0.12163099228931322	0.09280555266354439	0.11852813956181435
Isolate_00403	0.3598520060805318	0.3865224343937086	0.6383121946817263	0.6859909062911329	0.9577537307827332
Isolate_00406	0.39767131465864003	0.46183261573087697	0.6363999676866403	0.6958491998803528	0.953190022489946
Isolate_00408	0.6315344135483862	0.2947511533692799	0.3240111234636632	0.2822341738274072	0.45034698392811856
Isolate_00410	0.13119755635738942	0.15477719520753846	0.21164444871747393	0.1883720574669101	0.30528816899370037
Isolate_00454A	0.2801113346719008	0.34771750498655285	0.5297732418580483	0.5388486605618192	0.7351328586075967
Isolate_00455	2.9412314235662547	0.9234324816584291	0.9323452028042596	0.9119500831054396	1.1381439700712175
Isolate_00457	0.09969101611210951	0.21475061721745972	0.30905121700226507	0.34802393867715153	0.4843327076950026
Isolate_00459D	0.1137136192617443	0.15105393794446328	0.2516552428887206	0.21510849248431532	0.3577382391764905
Isolate_00462B	0.13532833265064895	0.23332461391701276	0.3275283936284509	0.3936238400407422	0.44319096257598145
Isolate_00501	0.23357654613458634	0.11188621880793614	0.2000852245108039	0.15519736094640824	0.23568610705384382
Isolate_00514	0.20390562330378462	0.6702183491781398	0.14996782817048857	0.11825435264787171	0.19688424363250015
Isolate_00522	0.13492955468481205	0.4492382462709498	0.10002263963696861	0.07685673212768118	0.128692179591222
Isolate_00528	0.3493231374828787	0.13349789903632553	0.32031521609227465	0.20977755818861354	0.28228572308252103
Isolate_00536	0.3010519232097051	0.5672483785619697	0.6281272779391399	0.6089666654674832	0.5774165791388911
Isolate_00539	0.43159327414429305	0.19805254450055385	0.22335629198924772	0.18806262660824632	0.32575427224676184
Isolate_00541	0.28295066391297724	0.5141620598144242	0.6231446582586394	0.5765998278362539	0.6708529843440879
Isolate_00547	0.3344993059612015	0.3448612424700404	0.23090500135266978	0.19036843305255294	0.27800771918486866
Isolate_00548	0.14682416338786355	0.10720570535297066	0.1358397168112458	0.10463409190331205	0.15551140170458178
Isolate_00556	0.22640227684279587	0.1168330540856651	0.1438091705920436	0.11503281972483069	0.19603254383941157
Isolate_00565	0.3623895807437186	0.5752443401972683	0.6772704236252743	0.6534836508351063	0.6838232782920676
Isolate_00575	2.3794870516426885	0.9267860691224521	0.8334914776650141	0.8767950010306892	1.0736643951965779
Isolate_00577	0.5294975167197091	0.16364582651439605	0.22764055128600943	0.17460512892944724	0.26064856521534924
Isolate_00580	1.0301763385968987	0.48213612594140404	0.3581043550276405	0.3382723278305362	0.42606336350913127
Isolate_00589	0.4623735011395775	0.19206645004687853	0.2532144544738757	0.20426557361189956	0.2754834639009386
Isolate_00591	0.24467181654751605	0.2149393366801452	0.17364149764636183	0.13559600015165044	0.19722870194049325
Isolate_00592	0.13909243315272832	0.21688403761565123	0.3114454999381002	0.2991556080109048	0.5273148634905334
Isolate_00601	0.21784374018600253	0.13979901108413775	0.22675841884056253	0.18746209276261688	0.24987903293699984
