isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00663	0.02165830021098596	0.010001762335647561	0.009535526547522159	0.008599690676798158	0.00858589134257156
Isolate_00667	0.04038030794940217	0.01813522152374335	0.022236866174948317	0.01960709767072538	0.01896712693063025
Isolate_00701	0.02688520700867811	0.023248630413805378	0.030484366261374827	0.029007810019894532	0.02323374486241689
Isolate_00750	0.02901866424490831	0.012785513273392928	0.019208101356672114	0.018186447114480635	0.014022967305842543
Isolate_00752	0.04179798804242248	0.02554541579619101	0.025487907091110016	0.020907899853372373	0.01734037962849907
Isolate_00810	0.052674252187998594	0.021064533558640405	0.03654474273885313	0.03316239313240321	0.024768793258226358
Isolate_00814	0.02776286252840587	0.014348511174151098	0.016676732958536472	0.015573036942623967	0.013025384201000178
Isolate_00908	0.06234612034645087	0.011486723740897332	0.01376668738033182	0.01094025465402135	0.011899032278640732
Isolate_01055	0.02204985142079894	0.08546216097039241	0.07328189557894704	0.09374609718653454	0.11436459887514686
Isolate_01056	0.0650496585444972	0.10069061222920295	0.0910811033282558	0.10824129635330443	0.13234155427655148
Isolate_01060	0.022301550804567902	0.0839544653157548	0.07068770539108492	0.0896402823504593	0.11013771798178804
